index,Triples,Output,llm_raw,No-Omissions_score,No-Omissions_just,No-Additions_score,No-Additions_just,Grammaticality_score,Grammaticality_just,Fluency_score,Fluency_just
10,"11th_Mississippi_Infantry_Monument | location | Adams_County,_Pennsylvania
 11th_Mississippi_Infantry_Monument | municipality | Gettysburg,_Pennsylvania
 11th_Mississippi_Infantry_Monument | category | Contributing_property
 Adams_County,_Pennsylvania | hasToItsNorth | Cumberland_County,_Pennsylvania","The 11th Mississippi Infantry Monument is located in Adams County, Pennsylvania, within the municipality of Gettysburg. It is classified as a contributing property. Adams County is bordered to the north by Cumberland County, Pennsylvania.","{
  ""No-Omissions"": {
    ""Justification"": ""All information from the Triple Set is present in the Text: the monument's location in Adams County, its municipality as Gettysburg, its classification as a contributing property, and the fact that Adams County is bordered to the north by Cumberland County."",
    ""Score"": ""7""
  },
  ""No-Additions"": {
    ""Justification"": ""The Text only includes information found in the Triple Set and does not introduce any new or extraneous details."",
    ""Score"": ""7""
  },
  ""Grammaticality"": {
    ""Justification"": ""The Text is free from grammatical and spelling errors."",
    ""Score"": ""7""
  },
  ""Fluency"": {
    ""Justification"": ""The Text flows well, with clear and logically connected sentences."",
    ""Score"": ""7""
  }
}",7,"All information from the Triple Set is present in the Text: the monument's location in Adams County, its municipality as Gettysburg, its classification as a contributing property, and the fact that Adams County is bordered to the north by Cumberland County.",7,The Text only includes information found in the Triple Set and does not introduce any new or extraneous details.,7,The Text is free from grammatical and spelling errors.,7,"The Text flows well, with clear and logically connected sentences."
11,"Expect_a_Miracle | producer | Brian_Kelly_(composer_&_pianist)
 Expect_a_Miracle | runtime | 54.56
 Expect_a_Miracle | type | Compilation_Album","Expect a Miracle is a compilation album produced by Brian Kelly, the composer and pianist, with a runtime of 54.56 minutes.","{
  ""No-Omissions"": {
    ""Justification"": ""The text includes all information from the triple set: the album title, its type (compilation album), the producer (Brian Kelly, composer and pianist), and the runtime (54.56 minutes)."",
    ""Score"": ""7""
  },
  ""No-Additions"": {
    ""Justification"": ""The text only contains information present in the triple set and does not introduce any new or extraneous details."",
    ""Score"": ""7""
  },
  ""Grammaticality"": {
    ""Justification"": ""The sentence is grammatically correct and free of spelling errors."",
    ""Score"": ""7""
  },
  ""Fluency"": {
    ""Justification"": ""The text flows smoothly and the information is presented in a clear, natural way."",
    ""Score"": ""7""
  }
}",7,"The text includes all information from the triple set: the album title, its type (compilation album), the producer (Brian Kelly, composer and pianist), and the runtime (54.56 minutes).",7,The text only contains information present in the triple set and does not introduce any new or extraneous details.,7,The sentence is grammatically correct and free of spelling errors.,7,"The text flows smoothly and the information is presented in a clear, natural way."
12,"Expect_a_Miracle | runtime | 54.56
 Expect_a_Miracle | precededBy | Pools_of_Light_(Brian_Kelly_album)",Expect a Miracle has a runtime of 54.56 minutes and was preceded by the album Pools of Light by Brian Kelly.,"{
  ""No-Omissions"": {
    ""Justification"": ""The text includes both pieces of information from the triple set: the runtime of 'Expect a Miracle' and that it was preceded by 'Pools of Light (Brian Kelly album)'."",
    ""Score"": ""7""
  },
  ""No-Additions"": {
    ""Justification"": ""The text only contains information present in the triple set and does not introduce any new or extraneous details."",
    ""Score"": ""7""
  },
  ""Grammaticality"": {
    ""Justification"": ""The sentence is grammatically correct and free of spelling errors."",
    ""Score"": ""7""
  },
  ""Fluency"": {
    ""Justification"": ""The text flows naturally and is easy to read, with both facts connected smoothly."",
    ""Score"": ""7""
  }
}",7,The text includes both pieces of information from the triple set: the runtime of 'Expect a Miracle' and that it was preceded by 'Pools of Light (Brian Kelly album)'.,7,The text only contains information present in the triple set and does not introduce any new or extraneous details.,7,The sentence is grammatically correct and free of spelling errors.,7,"The text flows naturally and is easy to read, with both facts connected smoothly."
13,"1147_Stavropolis | apoapsis | 418476000000.0
 1147_Stavropolis | orbitalPeriod | 1249.6
 1147_Stavropolis | discoverer | Grigory_Neujmin
 1147_Stavropolis | absoluteMagnitude | 11.5
 1147_Stavropolis | discovered | 1929-06-11
 1147_Stavropolis | rotationPeriod | 20378.5
 1147_Stavropolis | periapsis | 260855000000.0","1147 Stavropolis was discovered by Grigory Neujmin on June 11, 1929. This celestial body has an absolute magnitude of 11.5, an orbital period of 1249.6, and a rotation period of 20378.5. Its orbit ranges from a periapsis of 260,855,000,000.0 to an apoapsis of 418,476,000,000.0.","{
  ""No-Omissions"": {
    ""Justification"": ""All information from the Triple Set is present in the Text: the discoverer (Grigory Neujmin), discovery date (June 11, 1929), absolute magnitude (11.5), orbital period (1249.6), rotation period (20378.5), periapsis (260,855,000,000.0), and apoapsis (418,476,000,000.0) are all mentioned."",
    ""Score"": ""7""
  },
  ""No-Additions"": {
    ""Justification"": ""The Text only includes information from the Triple Set and does not introduce any new or extraneous details."",
    ""Score"": ""7""
  },
  ""Grammaticality"": {
    ""Justification"": ""The Text is free of grammatical and spelling errors."",
    ""Score"": ""7""
  },
  ""Fluency"": {
    ""Justification"": ""The Text flows well, with information presented in a logical and connected manner."",
    ""Score"": ""7""
  }
}",7,"All information from the Triple Set is present in the Text: the discoverer (Grigory Neujmin), discovery date (June 11, 1929), absolute magnitude (11.5), orbital period (1249.6), rotation period (20378.5), periapsis (260,855,000,000.0), and apoapsis (418,476,000,000.0) are all mentioned.",7,The Text only includes information from the Triple Set and does not introduce any new or extraneous details.,7,The Text is free of grammatical and spelling errors.,7,"The Text flows well, with information presented in a logical and connected manner."
14,"Kingdom_of_England | capital | Winchester
 Lady_Anne_Monson | nationality | Kingdom_of_England","Winchester was the capital of the Kingdom of England, which was also the nationality of Lady Anne Monson.","{
  ""No-Omissions"": {
    ""Justification"": ""The text includes both triples: it states that Winchester was the capital of the Kingdom of England, and that Lady Anne Monson's nationality was the Kingdom of England."",
    ""Score"": ""7""
  },
  ""No-Additions"": {
    ""Justification"": ""The text does not introduce any information beyond what is present in the triple set."",
    ""Score"": ""7""
  },
  ""Grammaticality"": {
    ""Justification"": ""The text is grammatically correct and free of spelling errors."",
    ""Score"": ""7""
  },
  ""Fluency"": {
    ""Justification"": ""The text flows well and the sentences are connected in a natural way."",
    ""Score"": ""7""
  }
}",7,"The text includes both triples: it states that Winchester was the capital of the Kingdom of England, and that Lady Anne Monson's nationality was the Kingdom of England.",7,The text does not introduce any information beyond what is present in the triple set.,7,The text is grammatically correct and free of spelling errors.,7,The text flows well and the sentences are connected in a natural way.
15,"Estádio_Municipal_Coaracy_da_Mata_Fonseca | location | Arapiraca
 Agremiação_Sportiva_Arapiraquense | league | Campeonato_Brasileiro_Série_C
 Campeonato_Brasileiro_Série_C | country | Brazil
 Agremiação_Sportiva_Arapiraquense | ground | Estádio_Municipal_Coaracy_da_Mata_Fonseca
 Agremiação_Sportiva_Arapiraquense | fullName | ""Agremiação Sportiva Arapiraquense""","Agremiação Sportiva Arapiraquense plays its home games at Estádio Municipal Coaracy da Mata Fonseca, which is located in Arapiraca. The club competes in the Campeonato Brasileiro Série C, a league based in Brazil.","{
  ""No-Omissions"": {
    ""Justification"": ""All information from the Triple Set is present in the Text: the club's full name, its home ground, the location of the ground, the league it competes in, and the country of the league are all mentioned."",
    ""Score"": ""7""
  },
  ""No-Additions"": {
    ""Justification"": ""The Text only includes information from the Triple Set and does not introduce any new or unrelated facts."",
    ""Score"": ""7""
  },
  ""Grammaticality"": {
    ""Justification"": ""The Text is free from grammatical and spelling errors."",
    ""Score"": ""7""
  },
  ""Fluency"": {
    ""Justification"": ""The sentences are well-structured and the information flows naturally."",
    ""Score"": ""7""
  }
}",7,"All information from the Triple Set is present in the Text: the club's full name, its home ground, the location of the ground, the league it competes in, and the country of the league are all mentioned.",7,The Text only includes information from the Triple Set and does not introduce any new or unrelated facts.,7,The Text is free from grammatical and spelling errors.,7,The sentences are well-structured and the information flows naturally.
16,"Estádio_Municipal_Coaracy_da_Mata_Fonseca | location | Arapiraca
 Agremiação_Sportiva_Arapiraquense | league | Campeonato_Brasileiro_Série_C
 Campeonato_Brasileiro_Série_C | country | Brazil
 Agremiação_Sportiva_Arapiraquense | ground | Estádio_Municipal_Coaracy_da_Mata_Fonseca
 Agremiação_Sportiva_Arapiraquense | fullName | ""Agremiação Sportiva Arapiraquense""","Agremiação Sportiva Arapiraquense plays its home games at Estádio Municipal Coaracy da Mata Fonseca, which is located in Arapiraca. The club competes in the Campeonato Brasileiro Série C, a league based in Brazil.","{
  ""No-Omissions"": {
    ""Justification"": ""All information from the Triple Set is present in the Text: the club's full name, its home ground, the ground's location, the league it competes in, and the league's country are all mentioned."",
    ""Score"": ""7""
  },
  ""No-Additions"": {
    ""Justification"": ""The Text only includes information from the Triple Set and does not introduce any new or unrelated facts."",
    ""Score"": ""7""
  },
  ""Grammaticality"": {
    ""Justification"": ""The Text is free of grammatical and spelling errors."",
    ""Score"": ""7""
  },
  ""Fluency"": {
    ""Justification"": ""The sentences are well-structured and the information flows naturally."",
    ""Score"": ""7""
  }
}",7,"All information from the Triple Set is present in the Text: the club's full name, its home ground, the ground's location, the league it competes in, and the league's country are all mentioned.",7,The Text only includes information from the Triple Set and does not introduce any new or unrelated facts.,7,The Text is free of grammatical and spelling errors.,7,The sentences are well-structured and the information flows naturally.
17,"Acharya_Institute_of_Technology | campus | ""In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090.""
 All_India_Council_for_Technical_Education | location | Mumbai
 Acharya_Institute_of_Technology | director | ""Dr. G. P. Prabhukumar""
 Acharya_Institute_of_Technology | affiliation | Visvesvaraya_Technological_University
 Acharya_Institute_of_Technology | wasGivenTheTechnicalCampusStatusBy | All_India_Council_for_Technical_Education
 Acharya_Institute_of_Technology | numberOfPostgraduateStudents | 700","Acharya Institute of Technology is located on its campus at ""In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090."" The institute is affiliated with Visvesvaraya Technological University and has 700 postgraduate students. Its director is Dr. G. P. Prabhukumar. Acharya Institute of Technology was granted technical campus status by the All India Council for Technical Education, which is based in Mumbai.","{
  ""No-Omissions"": {
    ""Justification"": ""All information from the Triple Set is present in the Text: the campus location, affiliation, number of postgraduate students, director, the granting of technical campus status by AICTE, and the location of AICTE in Mumbai."",
    ""Score"": ""7""
  },
  ""No-Additions"": {
    ""Justification"": ""The Text only includes information found in the Triple Set and does not introduce any new or extraneous details."",
    ""Score"": ""7""
  },
  ""Grammaticality"": {
    ""Justification"": ""The Text is free from grammatical and spelling errors."",
    ""Score"": ""7""
  },
  ""Fluency"": {
    ""Justification"": ""The Text flows smoothly, with well-constructed sentences and logical connections between the pieces of information."",
    ""Score"": ""7""
  }
}",7,"All information from the Triple Set is present in the Text: the campus location, affiliation, number of postgraduate students, director, the granting of technical campus status by AICTE, and the location of AICTE in Mumbai.",7,The Text only includes information found in the Triple Set and does not introduce any new or extraneous details.,7,The Text is free from grammatical and spelling errors.,7,"The Text flows smoothly, with well-constructed sentences and logical connections between the pieces of information."
18,"Estádio_Municipal_Coaracy_da_Mata_Fonseca | location | Arapiraca
 Agremiação_Sportiva_Arapiraquense | league | Campeonato_Brasileiro_Série_C
 Campeonato_Brasileiro_Série_C | country | Brazil
 Agremiação_Sportiva_Arapiraquense | ground | Estádio_Municipal_Coaracy_da_Mata_Fonseca
 Agremiação_Sportiva_Arapiraquense | fullName | ""Agremiação Sportiva Arapiraquense""","Agremiação Sportiva Arapiraquense, whose full name is ""Agremiação Sportiva Arapiraquense,"" plays its home games at Estádio Municipal Coaracy da Mata Fonseca, which is located in Arapiraca. The team competes in the Campeonato Brasileiro Série C, a league based in Brazil.","{
  ""No-Omissions"": {
    ""Justification"": ""All information from the Triple Set is present in the Text: the full name of the team, its home ground, the location of the stadium, the league in which the team competes, and the country of the league."",
    ""Score"": ""7""
  },
  ""No-Additions"": {
    ""Justification"": ""The Text only includes information found in the Triple Set and does not introduce any new or extraneous details."",
    ""Score"": ""7""
  },
  ""Grammaticality"": {
    ""Justification"": ""The Text is free from grammatical and spelling errors."",
    ""Score"": ""7""
  },
  ""Fluency"": {
    ""Justification"": ""The Text flows smoothly and the sentences are well connected, making it easy to read."",
    ""Score"": ""7""
  }
}",7,"All information from the Triple Set is present in the Text: the full name of the team, its home ground, the location of the stadium, the league in which the team competes, and the country of the league.",7,The Text only includes information found in the Triple Set and does not introduce any new or extraneous details.,7,The Text is free from grammatical and spelling errors.,7,"The Text flows smoothly and the sentences are well connected, making it easy to read."
19,"Alan_Shepard | birthDate | ""1923-11-18""
 Alan_Shepard | nationality | United_States
 Alan_Shepard | deathPlace | California
 Alan_Shepard | birthPlace | New_Hampshire
 Alan_Shepard | status | ""Deceased""","Alan Shepard was born on November 18, 1923, in New Hampshire, United States. He later passed away in California and is now deceased.","{
  ""No-Omissions"": {
    ""Justification"": ""The text includes all the information from the triple set: Alan Shepard's birth date (November 18, 1923), birth place (New Hampshire), nationality (United States), death place (California), and status (deceased)."",
    ""Score"": ""7""
  },
  ""No-Additions"": {
    ""Justification"": ""The text only contains information present in the triple set and does not introduce any new or extraneous details."",
    ""Score"": ""7""
  },
  ""Grammaticality"": {
    ""Justification"": ""The text is free of grammatical and spelling errors."",
    ""Score"": ""7""
  },
  ""Fluency"": {
    ""Justification"": ""The text flows naturally and is easy to read, with clear and connected sentences."",
    ""Score"": ""7""
  }
}",7,"The text includes all the information from the triple set: Alan Shepard's birth date (November 18, 1923), birth place (New Hampshire), nationality (United States), death place (California), and status (deceased).",7,The text only contains information present in the triple set and does not introduce any new or extraneous details.,7,The text is free of grammatical and spelling errors.,7,"The text flows naturally and is easy to read, with clear and connected sentences."
20,"Alan_Shepard | birthDate | ""1923-11-18""
 Alan_Shepard | nationality | United_States
 Alan_Shepard | servedAsChiefOfTheAstronautOfficeIn | 1963
 Alan_Shepard | deathPlace | California
 Alan_Shepard | selectedByNasa | 1959
 Alan_Shepard | birthPlace | New_Hampshire
 Alan_Shepard | almaMater | ""NWC, M.A. 1957""","Alan Shepard was born on November 18, 1923, in New Hampshire, United States. He was selected by NASA in 1959 and served as Chief of the Astronaut Office in 1963. Shepard earned his M.A. from NWC in 1957. He passed away in California.","{
  ""No-Omissions"": {
    ""Justification"": ""All information from the Triple Set is present in the Text: Shepard's birth date and place, nationality, selection by NASA, service as Chief of the Astronaut Office in 1963, alma mater and degree, and death place are all mentioned."",
    ""Score"": ""7""
  },
  ""No-Additions"": {
    ""Justification"": ""The Text only includes information found in the Triple Set and does not introduce any new facts or details."",
    ""Score"": ""7""
  },
  ""Grammaticality"": {
    ""Justification"": ""The Text is free of grammatical and spelling errors."",
    ""Score"": ""7""
  },
  ""Fluency"": {
    ""Justification"": ""The Text flows well, with each sentence logically following the previous one and clear connections between the facts."",
    ""Score"": ""7""
  }
}",7,"All information from the Triple Set is present in the Text: Shepard's birth date and place, nationality, selection by NASA, service as Chief of the Astronaut Office in 1963, alma mater and degree, and death place are all mentioned.",7,The Text only includes information found in the Triple Set and does not introduce any new facts or details.,7,The Text is free of grammatical and spelling errors.,7,"The Text flows well, with each sentence logically following the previous one and clear connections between the facts."
